TimePoint,GCaMP,jRGECO
82,110098.425358886,63104.8421866319
83,110053.039981276,63462.2470847795
84,110347.764178533,63628.5902610599
85,109654.367355391,63470.6725599471
86,109958.412795775,63778.3330331047
87,110370.926628947,63862.9849313509
88,110533.501251252,63986.4699353731
89,110299.652670385,63698.2494532543
90,110479.158928786,64708.7635095634
91,109817.634829834,64024.825866569
92,111420.384071784,64389.7235634071
93,110726.665261897,63816.5007797408
94,110864.257521229,64423.3370351749
95,110681.063003196,64232.5777648593
96,110632.647121331,63777.4947670179
97,111054.293907204,64459.7647657763
98,110568.380237769,64001.0223314926
99,110189.142492706,63168.1505688748
100,110357.30341879,63574.9775637702
101,109907.368203915,63974.9230068834
102,110456.513514297,63654.2371393566
103,110806.945001899,63932.946984823
104,110928.1055231,64030.4635602288
105,111485.842524547,63908.89951361
106,111576.454755017,63933.2684732635
107,111802.986055544,64690.4896030526
108,110801.849533288,63949.5024626195
109,111564.112250989,63790.754606641
110,110850.941812822,63566.4571510543
111,112047.90299958,63987.7111341735
112,112203.649433914,63971.8706948655
113,112535.227746349,64302.8145240817
114,112205.179149636,63958.0208519899
115,111423.326815706,64180.3196673839
116,111904.777732963,64140.9716211707
117,111996.066493436,64432.0773062584
118,112019.320006832,64154.420102682
119,112071.21148386,63781.3499297228
120,111953.390984009,64205.5796725702
121,110706.102018859,63284.4217415425
122,110207.799914941,63975.9868232589
123,111853.928042882,64034.8581878381
124,111672.242660654,63978.4186124289
125,110927.286415537,63723.8805103644
126,111338.145214508,63571.7549602717
127,111113.758669086,63852.5897319893
128,110977.627751895,63663.0570179471
129,111789.661793591,63981.5820813785
130,111353.481546229,64029.8650120166
131,111152.675339648,63757.4570708453
132,111237.333505383,64274.0380162394
133,111449.316077934,63652.4191096516
134,111320.513487337,63598.6111841386
135,111499.360349055,64141.7144585344
136,112230.134870664,63723.6713425346
137,111534.032213918,63674.4316240519
138,111116.859304004,63839.8481586609
139,112275.387946408,63528.9893993863
140,111513.042542262,63308.935503231
141,111918.442336746,63989.4207069932
142,112435.844231288,64219.5349241078
143,112509.689804297,63952.2629419905
144,111619.248196009,63732.9466747966
145,112356.411078689,63497.8006725593
146,111638.423527187,63575.0596592026
147,112017.049223311,63585.7637706698
148,112666.20565051,63708.1769210124
149,112477.253157633,64127.9438850972
150,112038.295493311,63800.6238073852
151,111972.017610785,63676.6801905734
152,112403.259423663,63732.8187372603
153,111665.558200364,63247.9923265417
154,111387.410692667,63587.1107567256
155,110651.685848531,62984.8617474137
156,110917.619936768,63092.0231018268
157,110652.287338692,63035.0401811392
158,111227.305162884,62985.4234057742
159,110653.474290531,63058.4761970015
160,110126.366690283,63549.4255378286
161,109566.368037635,62495.5283158143
162,109597.735386796,62854.9839584138
163,110482.171692263,63138.4894487938
164,109614.401385448,62747.1357655562
165,110548.192778065,62641.8677579657
166,111318.061792304,63394.106330627
167,110270.319589598,63058.3003358674
168,110900.279877484,63343.6053841344
169,110379.373566141,62974.1142273617
170,110566.932687122,62749.6763645252
171,110313.999443891,63138.1643643236
172,110138.580849586,63013.5020408445
173,110322.554171149,63159.3928731914
174,109832.626460456,63014.4905622889
175,109899.456410437,62956.2994054469
176,109372.216514533,62439.8708516986
177,110040.712118186,63646.399061702
178,110410.63169228,63286.9164061353
179,110019.774079111,62982.4884989406
180,109643.102209424,62546.1999747647
181,109655.506726808,63213.9891562237
182,110182.12312768,63340.755308343
183,110646.764526626,63300.8976902963
184,109383.523578009,62659.8775877297
185,109763.15293557,62858.4712458601
186,109076.758977748,62738.1386674355
187,109176.740250714,63126.823690684
188,110660.015775198,63434.5819458608
189,109001.508865189,62349.8232846298
190,109943.742456334,62307.5198841532
191,110164.451418939,62467.0600011633
192,110068.147382134,62754.7365539894
193,108699.242465583,62645.4750752241
194,109030.162685863,62464.1108036237
195,110080.981117145,62808.2942933596
196,108836.103630307,62897.809419336
197,110158.325140869,63090.7865994149
198,109742.508365633,62422.9270829721
199,110926.274312101,62526.3932309956
200,110351.056755782,63143.6718615746
201,110609.96066835,63528.135876926
202,110431.125893452,63426.9791059547
203,110046.718014665,63069.7298866142
204,110167.78363369,62835.7784612597
205,110808.137967811,64245.3527039882
206,110460.800373775,62809.6462344796
207,111221.443474009,63249.4589899219
208,110782.964849121,63556.9547070915
209,109934.129321357,62956.0240005493
210,110592.447149117,63546.9294667476
211,110086.144432466,63122.8309134252
212,110401.680308983,63721.6381872906
213,111330.828332343,63656.5980698247
214,111372.945196915,63748.2254740544
215,110696.565027593,63721.0616171689
216,111116.172897157,63455.6262923195
217,111139.487604922,64035.6774099215
218,110698.384531849,64610.0739000241
219,111177.576090632,64067.1824209347
220,111656.156681484,64380.2638985001
221,110891.215157217,64747.1264155781
222,111864.796040628,64589.1281759038
223,111501.213189469,64598.9416971607
224,112158.265769276,64076.5022232894
225,111376.964582119,64855.4470966442
226,111924.5421525,64349.0606663954
227,112051.145604891,65389.1120404279
228,110928.758965113,64730.3808820634
229,111118.504738894,64541.965251555
230,110928.292156598,63951.8894385163
231,110942.905655856,64732.040922007
232,110761.208710402,64170.4560675112
233,109676.193879177,63696.8795342242
234,110724.220818107,64545.755974
235,110809.268517237,64295.2411763884
236,111398.425255355,64587.7250945103
237,110506.540782997,64062.5741426397
238,110990.502861967,63696.2795547059
239,110918.397000624,64078.6845529528
240,111043.897524425,64494.3813740415
241,111069.27182924,64721.6122431768
242,111455.122919775,64239.5483509987
243,110772.545208048,64264.9730797607
244,111715.963040216,64148.0995283938
245,111470.053929367,63897.2741575036
246,112123.498907851,64772.6436714008
247,111560.136270043,64394.9056561668
248,112200.940470218,64690.0180927593
249,112139.135884332,64294.1576695119
250,111894.768525321,64089.386834848
251,111444.529014539,63682.3203941461
252,111560.226603496,63975.5598386171
253,111705.627594583,64627.0726265422
254,110715.137133088,64043.155822166
255,112054.090257616,64542.1644330908
256,111882.213036001,64681.0152456314
257,111341.306296941,64361.5873477362
258,111325.713255527,63971.5647802138
259,111098.947068105,64051.4895307187
260,111640.755478605,63494.4310516649
261,111309.392641879,64174.482781983
262,111239.500794393,64205.8670418437
263,110600.77608762,63291.4982101388
264,110931.44616442,63838.4606149064
265,112091.74676147,63885.3956658834
266,111454.536329974,64107.5036621045
267,111657.039393222,64128.3177812533
268,111432.309897801,63804.9950021412
269,112380.91003567,64492.6442876021
270,111425.032415782,63809.7900743653
271,111336.005478067,63924.8478647266
272,111579.142146355,63949.8478444132
273,111611.137723196,64373.6641954837
274,112211.810292013,64245.6486239532
275,112965.67784686,64448.2613615383
276,112633.856309458,64410.5252435502
277,113256.215975974,64788.5107380108
278,112658.475940285,64584.7278730269
279,111841.122404471,64282.9807827068
280,113287.898604203,64877.4624316644
281,113039.822765116,65025.3003197768
282,112767.30800181,65171.9647382875
283,111808.848230585,65160.859886774
284,112190.870470453,65439.6604099689
285,113405.663152652,65028.9836956622
286,113893.315053444,65461.858272413
287,113727.489045972,65060.0311102128
