Wavelength_nm,GCaMP,jRGECO
504.463,0.00593894228828298,1.58513432765058e-16
504.814,0.00608403981494032,1.56648130471391e-16
505.166,0.00622376167529576,1.5468817329446e-16
505.517,0.00637110859712207,1.52978704142191e-16
505.868,0.00651078310144799,1.51203307539106e-16
506.22,0.00664691793537817,1.49357411718626e-16
506.571,0.00677986004066617,1.47519920203121e-16
506.922,0.00691539375673212,1.45849743774649e-16
507.273,0.00704195805347342,1.44136751886324e-16
507.624,0.00717160311207953,1.42594676831423e-16
507.975,0.00729598768395491,1.41036513302803e-16
508.326,0.00741367277171779,1.3925039897604e-16
508.677,0.00752862837963234,1.37499355344148e-16
509.028,0.00764503099633719,1.35916769554264e-16
509.379,0.00775307214556354,1.3481269420676e-16
509.73,0.00786253642134417,1.33780335789514e-16
510.08,0.00796373247976891,1.3297394438238e-16
510.431,0.00806402718666698,1.33217455979052e-16
510.782,0.00815943104915036,1.33375793760223e-16
511.132,0.00825375222961353,1.33652885316515e-16
511.483,0.00833845076910142,1.33989716400814e-16
511.833,0.00841372515978907,1.34174128346466e-16
512.184,0.0084914022929486,1.34601811161238e-16
512.534,0.00856750846235259,1.35192920035843e-16
512.885,0.00863857895468841,1.35697920295382e-16
513.235,0.00870024096274883,1.36300132569309e-16
513.585,0.00875354525332182,1.36889938596992e-16
513.935,0.00880723684369047,1.37483619896149e-16
514.286,0.0088488961705704,1.38436540852884e-16
514.636,0.00889488526346291,1.39587140758229e-16
514.986,0.00892877442436468,1.40554515371173e-16
515.336,0.00896313811859169,1.41844183532914e-16
515.686,0.0089872970515933,1.42998210395013e-16
516.036,0.0090106141836849,1.44245171347021e-16
516.386,0.00902538770374079,1.46203948460196e-16
516.735,0.009039011688736,1.48186001625841e-16
517.085,0.00903902366063851,1.5003498264292e-16
517.435,0.00904076191627854,1.52085512379658e-16
517.785,0.0090385305345536,1.54124438927541e-16
518.134,0.00903440385220384,1.56385210563127e-16
518.484,0.00902089196720895,1.58897139755387e-16
518.834,0.00900076432204159,1.61380447121061e-16
519.183,0.00897241381422432,1.63669164893606e-16
519.533,0.00894745680880286,1.65991953650122e-16
519.882,0.00891447755036575,1.68235696105663e-16
520.231,0.00887913252908196,1.70964732025063e-16
520.581,0.00883510355335741,1.73887483821671e-16
520.93,0.00879154602818844,1.76940773342227e-16
521.279,0.00873930771340282,1.79177983678602e-16
521.628,0.0086893777808714,1.81348195209225e-16
521.978,0.00862975218073603,1.83400996606003e-16
522.327,0.00857040297697696,1.86075284889774e-16
522.676,0.0085018710186026,1.88702280801914e-16
523.025,0.00843302239713516,1.91459877631634e-16
523.374,0.00835743943041047,1.94434295682863e-16
523.723,0.00827744109576991,1.97454122226765e-16
524.071,0.00819769713311968,2.00350280706034e-16
524.42,0.008117774587988,2.023009800469e-16
