wavelength,jRGECO1a (calcium saturated) 2p,jRGECO1a (calcium saturated) ex,jRGECO1a (calcium saturated) em,jRGECO1a (calcium free) 2p,jRGECO1a (calcium free) ex,jRGECO1a (calcium free) em,jRGECO1a (calcium saturated) ab
253,,,,,,,0.6442999839782715
254,,,,,,,0.652999997138977
255,,,,,,,0.6680999994277954
256,,,,,,,0.6847000122070312
257,,,,,,,0.6974999904632568
258,,,,,,,0.7092999815940857
259,,,,,,,0.7332000136375427
260,,,,,,,0.7598000168800354
261,,,,,,,0.7771999835968018
262,,,,,,,0.7947999835014343
263,,,,,,,0.8130999803543091
264,,,,,,,0.8356000185012817
265,,,,,,,0.8564000129699707
266,,,,,,,0.8704000115394592
267,,,,,,,0.8876000046730042
268,,,,,,,0.9096999764442444
269,,,,,,,0.9283000230789185
270,,,,,,,0.9429000020027161
271,,,,,,,0.9546999931335449
272,,,,,,,0.9660000205039978
273,,,,,,,0.9779999852180481
274,,,,,,,0.987500011920929
275,,,,,,,0.9936000108718872
276,,,,,,,0.9976000189781189
277,,,,,,,1.0
278,,,,,,,0.9998000264167786
279,,,,,,,0.998199999332428
280,,,,,,,0.9948999881744385
281,,,,,,,0.9889000058174133
282,,,,,,,0.9785000085830688
283,,,,,,,0.9607999920845032
284,,,,,,,0.9254000186920166
285,,,,,,,0.8776999711990356
286,,,,,,,0.8276000022888184
287,,,,,,,0.7828999757766724
288,,,,,,,0.741599977016449
289,,,,,,,0.680899977684021
290,,,,,,,0.6269000172615051
291,,,,,,,0.5910000205039978
292,,,,,,,0.5418999791145325
293,,,,,,,0.48969998955726624
294,,,,,,,0.4424000084400177
295,,,,,,,0.39239999651908875
296,,,,,,,0.3407999873161316
297,,,,,,,0.28679999709129333
298,,,,,,,0.2363000065088272
299,,,,,,,0.20200000703334808
300,,,,,,,0.17640000581741333
301,,,,,,,0.14079999923706055
302,,,,,,,0.11240000277757645
303,,,,,,,0.10140000283718109
304,,,,,,,0.09319999814033508
305,,,,,,,0.07930000126361847
306,,,,,,,0.066600002348423
307,,,,,,,0.06279999762773514
308,,,,,,,0.06109999865293503
309,,,,,,,0.06019999831914902
310,,,,,,,0.05939999967813492
311,,,,,,,0.05939999967813492
312,,,,,,,0.05939999967813492
313,,,,,,,0.05979999899864197
314,,,,,,,0.061900001019239426
315,,,,,,,0.06430000066757202
316,,,,,,,0.06620000302791595
317,,,,,,,0.06800000369548798
318,,,,,,,0.06939999759197235
319,,,,,,,0.07029999792575836
320,,,,,,,0.07180000096559525
321,,,,,,,0.07360000163316727
322,,,,,,,0.07479999959468842
323,,,,,,,0.07509999722242355
324,,,,,,,0.07509999722242355
325,,,,,,,0.07660000026226044
326,,,,,,,0.07840000092983246
327,,,,,,,0.08100000023841858
328,,,,,,,0.08370000123977661
329,,,,,,,0.08550000190734863
330,,,,,,,0.08910000324249268
331,,,,,,,0.09359999746084213
332,,,,,,,0.09799999743700027
333,,,,,,,0.10100000351667404
334,,,,,,,0.1039000004529953
335,,,,,,,0.1071000024676323
336,,,,,,,0.10980000346899033
337,,,,,,,0.11150000244379044
338,,,,,,,0.1096000000834465
339,,,,,,,0.10490000247955322
340,,,,,,,0.09839999675750732
341,,,,,,,0.093299999833107
342,,,,,,,0.08969999849796295
343,,,,,,,0.08649999648332596
344,,,,,,,0.08380000293254852
345,,,,,,,0.08169999718666077
346,,,,,,,0.07850000262260437
347,,,,,,,0.07339999824762344
348,,,,,,,0.06949999928474426
349,,,,,,,0.066600002348423
350,,0.1965000033378601,,,0.17599999904632568,,0.06469999998807907
351,,0.1859000027179718,,,0.1695999950170517,,0.06289999932050705
352,,0.17520000040531158,,,0.16380000114440918,,0.06019999831914902
353,,0.16439999639987946,,,0.15950000286102295,,0.058400001376867294
354,,0.15369999408721924,,,0.15690000355243683,,0.05660000070929527
355,,0.14380000531673431,,,0.15389999747276306,,0.05389999970793724
356,,0.13539999723434448,,,0.1500999927520752,,0.05139999836683273
357,,0.12860000133514404,,,0.14659999310970306,,0.050599999725818634
358,,0.12189999967813492,,,0.1451999992132187,,0.050599999725818634
359,,0.11509999632835388,,,0.14409999549388885,,0.050599999725818634
360,,0.10920000076293945,,,0.14259999990463257,,0.050599999725818634
361,,0.10459999740123749,,,0.14180000126361847,,0.050599999725818634
362,,0.10029999911785126,,,0.14239999651908875,,0.0502999983727932
363,,0.09589999914169312,,,0.14219999313354492,,0.048900000751018524
364,,0.09210000187158585,,,0.14069999754428864,,0.04749999940395355
365,,0.08959999680519104,,,0.13940000534057617,,0.0471000000834465
366,,0.08810000121593475,,,0.14000000059604645,,0.0471000000834465
367,,0.0869000032544136,,,0.14110000431537628,,0.0471000000834465
368,,0.08540000021457672,,,0.14100000262260437,,0.0471000000834465
369,,0.08269999921321869,,,0.13840000331401825,,0.0471000000834465
370,,0.07940000295639038,,,0.13539999723434448,,0.0471000000834465
371,,0.07689999788999557,,,0.13289999961853027,,0.0471000000834465
372,,0.07580000162124634,,,0.13130000233650208,,0.0471000000834465
373,,0.07479999959468842,,,0.13130000233650208,,0.04800000041723251
374,,0.07249999791383743,,,0.13220000267028809,,0.048900000751018524
375,,0.07010000199079514,,,0.13089999556541443,,0.048900000751018524
376,,0.06780000030994415,,,0.12780000269412994,,0.048900000751018524
377,,0.06650000065565109,,,0.12549999356269836,,0.048900000751018524
378,,0.0649000033736229,,,0.12479999661445618,,0.04899999871850014
379,,0.06289999932050705,,,0.12309999763965607,,0.049800001084804535
380,,0.060499999672174454,,,0.12070000171661377,,0.04960000142455101
381,,0.05790000036358833,,,0.11860000342130661,,0.048900000751018524
382,,0.05559999868273735,,,0.11760000139474869,,0.04859999939799309
383,,0.053199999034404755,,,0.11599999666213989,,0.04769999906420708
384,,0.05090000107884407,,,0.11460000276565552,,0.0471000000834465
385,,0.04830000177025795,,,0.11339999735355377,,0.0471000000834465
386,,0.04610000178217888,,,0.11240000277757645,,0.0471000000834465
387,,0.04390000179409981,,,0.11140000075101852,,0.0471000000834465
388,,0.04170000180602074,,,0.11100000143051147,,0.0471000000834465
389,,0.03909999877214432,,,0.11029999703168869,,0.0471000000834465
390,,0.03660000115633011,,,0.10909999907016754,,0.0471000000834465
391,,0.033799998462200165,,,0.10790000110864639,,0.0471000000834465
392,,0.031300000846385956,,,0.1071000024676323,,0.0471000000834465
393,,0.02889999933540821,,,0.10559999942779541,,0.0471000000834465
394,,0.026799999177455902,,,0.1046999990940094,,0.0471000000834465
395,,0.02500000037252903,,,0.10409999638795853,,0.046300001442432404
396,,0.02290000021457672,,,0.10379999876022339,,0.04540000110864639
397,,0.02070000022649765,,,0.10329999774694443,,0.04540000110864639
398,,0.019200000911951065,,,0.10300000011920929,,0.046300001442432404
399,,0.01850000023841858,,,0.10199999809265137,,0.04619999974966049
400,,0.01759999990463257,,,0.10050000250339508,,0.04560000076889992
401,,0.016499999910593033,,,0.0989999994635582,,0.04740000143647194
402,,0.015300000086426735,,,0.0982000008225441,,0.048900000751018524
403,,0.014299999922513962,,,0.09799999743700027,,0.048900000751018524
404,,0.01360000018030405,,,0.09839999675750732,,0.048700001090765
405,,0.013100000098347664,,,0.09790000319480896,,0.04769999906420708
406,,0.012600000016391277,,,0.09780000150203705,,0.0471000000834465
407,,0.012400000356137753,,,0.09780000150203705,,0.04749999940395355
408,,0.012299999594688416,,,0.09849999845027924,,0.04839999973773956
409,,0.012199999764561653,,,0.10010000318288803,,0.048900000751018524
410,,0.01209999993443489,,,0.10260000079870224,,0.048900000751018524
411,,0.012000000104308128,,,0.10499999672174454,,0.048900000751018524
412,,0.011900000274181366,,,0.10660000145435333,,0.048900000751018524
413,,0.01209999993443489,,,0.10849999636411667,,0.048900000751018524
414,,0.012400000356137753,,,0.10989999771118164,,0.048900000751018524
415,,0.012400000356137753,,,0.11079999804496765,,0.048900000751018524
416,,0.012500000186264515,,,0.11230000108480453,,0.048900000751018524
417,,0.012799999676644802,,,0.11550000309944153,,0.048900000751018524
418,,0.012900000438094139,,,0.11819999665021896,,0.048900000751018524
419,,0.01269999984651804,,,0.1200999990105629,,0.048900000751018524
420,,0.013000000268220901,,,0.12200000137090683,,0.048900000751018524
421,,0.01360000018030405,,,0.12460000067949295,,0.049800001084804535
422,,0.014100000262260437,,,0.12720000743865967,,0.050599999725818634
423,,0.0142000000923872,,,0.1289999932050705,,0.050599999725818634
424,,0.014499999582767487,,,0.13089999556541443,,0.050599999725818634
425,,0.014700000174343586,,,0.13339999318122864,,0.050599999725818634
426,,0.014800000004470348,,,0.13609999418258667,,0.050599999725818634
427,,0.015200000256299973,,,0.13840000331401825,,0.050599999725818634
428,,0.01590000092983246,,,0.1396999955177307,,0.05090000107884407
429,,0.01679999940097332,,,0.14100000262260437,,0.05220000073313713
430,,0.017400000244379044,,,0.14329999685287476,,0.053599998354911804
431,,0.01769999973475933,,,0.1462000012397766,,0.054099999368190765
432,,0.017999999225139618,,,0.148499995470047,,0.05460000038146973
433,,0.01860000006854534,,,0.14970000088214874,,0.0560000017285347
434,,0.019300000742077827,,,0.15080000460147858,,0.05730000138282776
435,,0.019899999722838402,,,0.1527000069618225,,0.0575999990105629
436,,0.02070000022649765,,,0.1542000025510788,,0.05829999968409538
437,,0.021700000390410423,,,0.1559000015258789,,0.05990000069141388
438,,0.022600000724196434,,,0.15800000727176666,,0.061000000685453415
439,,0.023399999365210533,,,0.16019999980926514,,0.06109999865293503
440,,0.02449999935925007,,,0.16220000386238098,,0.06109999865293503
441,,0.025800000876188278,,,0.16380000114440918,,0.061900001019239426
442,,0.02710000053048134,,,0.1656000018119812,,0.06459999829530716
443,,0.028200000524520874,,,0.16680000722408295,,0.06719999760389328
444,,0.02969999983906746,,,0.16820000112056732,,0.0689999982714653
445,,0.03150000050663948,,,0.16979999840259552,,0.07000000029802322
446,,0.0333000011742115,,,0.17030000686645508,,0.07180000096559525
447,,0.03449999913573265,,,0.1687999963760376,,0.07360000163316727
448,,0.035999998450279236,,,0.16670000553131104,,0.07559999823570251
449,,0.03819999843835831,,,0.16539999842643738,,0.07810000330209732
450,,0.0406000018119812,,,0.16429999470710754,,0.07999999821186066
451,,0.04270000010728836,,,0.16290000081062317,,0.08209999650716782
452,,0.044599998742341995,,,0.1615000069141388,,0.08449999988079071
453,,0.047200001776218414,,,0.16099999845027924,,0.08590000122785568
454,,0.05009999871253967,,,0.16130000352859497,,0.08780000358819962
455,,0.05290000140666962,,,0.16120000183582306,,0.09000000357627869
456,,0.05510000139474869,,,0.16009999811649323,,0.09189999848604202
457,,0.05719999969005585,,,0.1590999960899353,,0.09430000185966492
458,,0.059700001031160355,,,0.15870000422000885,,0.09640000015497208
459,,0.06270000338554382,,,0.15809999406337738,,0.09889999777078629
460,,0.06620000302791595,,,0.1573999971151352,,0.10159999877214432
461,,0.07010000199079514,,,0.15790000557899475,,0.10360000282526016
462,,0.0738999992609024,,,0.1590999960899353,,0.10540000349283218
463,,0.07699999958276749,,,0.15889999270439148,,0.10719999670982361
464,,0.0794999971985817,,,0.15770000219345093,,0.10989999771118164
465,,0.08250000327825546,,,0.15760000050067902,,0.11259999871253967
466,,0.08560000360012054,,,0.15889999270439148,,0.1143999993801117
467,,0.08879999816417694,,,0.15919999778270721,,0.11720000207424164
468,,0.0925000011920929,,,0.15800000727176666,,0.12070000171661377
469,,0.09700000286102295,,,0.15729999542236328,,0.12359999865293503
470,,0.10119999945163727,,,0.15729999542236328,,0.12729999423027039
471,,0.10480000078678131,,,0.15690000355243683,,0.13169999420642853
472,,0.10859999805688858,,,0.155799999833107,,0.1356000006198883
473,,0.11330000311136246,,,0.1550000011920929,,0.14020000398159027
474,,0.11760000139474869,,,0.15440000593662262,,0.1445000022649765
475,,0.12189999967813492,,,0.15369999408721924,,0.1477999985218048
476,,0.12639999389648438,,,0.15360000729560852,,0.1509000062942505
477,,0.13179999589920044,,,0.15399999916553497,,0.1551000028848648
478,,0.13740000128746033,,,0.15410000085830688,,0.1590999960899353
479,,0.1436000019311905,,,0.1535000056028366,,0.16279999911785126
480,,0.14980000257492065,,,0.15360000729560852,,0.16590000689029694
481,,0.15559999644756317,,,0.1542000025510788,,0.16930000483989716
482,,0.1607999950647354,,,0.15379999577999115,,0.17430000007152557
483,,0.16609999537467957,,,0.1527000069618225,,0.17900000512599945
484,,0.1720000058412552,,,0.15320000052452087,,0.18279999494552612
485,,0.1784999966621399,,,0.1551000028848648,,0.18649999797344208
486,,0.18459999561309814,,,0.15729999542236328,,0.19009999930858612
487,,0.19040000438690186,,,0.15880000591278076,,0.19370000064373016
488,,0.19599999487400055,,,0.16040000319480896,,0.1973000019788742
489,,0.20190000534057617,,,0.16269999742507935,,0.20090000331401825
490,,0.20800000429153442,,,0.1655000001192093,,0.2046000063419342
491,,0.21439999341964722,,,0.1678999960422516,,0.20909999310970306
492,,0.22040000557899475,,,0.17020000517368317,,0.21369999647140503
493,,0.22669999301433563,,,0.1729000061750412,,0.21819999814033508
494,,0.23330000042915344,,,0.1761000007390976,,0.22259999811649323
495,,0.24050000309944153,,,0.17880000174045563,,0.226500004529953
496,,0.24729999899864197,,,0.1817999929189682,,0.2312999963760376
497,,0.25440001487731934,,,0.18529999256134033,,0.2362000048160553
498,,0.2621999979019165,,,0.18930000066757202,,0.2395000010728836
499,,0.27059999108314514,,,0.193900004029274,,0.24310000240802765
500,,0.27799999713897705,,,0.19869999587535858,,0.24809999763965607
501,,0.28540000319480896,,,0.20329999923706055,,0.2542000114917755
502,,0.2946999967098236,,,0.2069000005722046,,0.2612000107765198
503,,0.30559998750686646,,,0.2110999971628189,,0.267300009727478
504,,0.3156000077724457,,,0.2160000056028366,,0.2734000086784363
505,,0.32510000467300415,,,0.22179999947547913,,0.28119999170303345
506,,0.33649998903274536,,,0.22759999334812164,,0.28940001130104065
507,,0.3492000102996826,,,0.23420000076293945,,0.29760000109672546
508,,0.36169999837875366,,,0.2401999980211258,,0.3057999908924103
509,,0.37369999289512634,,,0.24539999663829803,,0.3156000077724457
510,,0.3869999945163727,,,0.2513999938964844,,0.3262999951839447
511,,0.4016000032424927,,,0.25859999656677246,,0.3361999988555908
512,,0.4154999852180481,,,0.26739999651908875,,0.34529998898506165
513,,0.42820000648498535,,,0.2761000096797943,,0.35530000925064087
514,,0.44040000438690186,,,0.2842000126838684,,0.3668999969959259
515,,0.45320001244544983,,,0.2915000021457672,,0.3774999976158142
516,,0.4674000144004822,,,0.30000001192092896,,0.39149999618530273
517,,0.4819999933242798,,,0.30979999899864197,,0.40639999508857727
518,,0.4966000020503998,,,0.3206000030040741,,0.4194999933242798
519,,0.5090000033378601,,,0.33239999413490295,,0.4325999915599823
520,,0.5213000178337097,,,0.3440999984741211,,0.4442000091075897
521,,0.5340999960899353,,,0.35440000891685486,,0.45559999346733093
522,,0.5475000143051147,,,0.3652999997138977,,0.46709999442100525
523,,0.5593000054359436,,,0.3792000114917755,,0.4781000018119812
524,,0.569100022315979,,,0.39480000734329224,,0.48910000920295715
525,,0.5769000053405762,,,0.4092999994754791,,0.49790000915527344
526,,0.5846999883651733,,,0.42239999771118164,,0.5040000081062317
527,,0.5924000144004822,,,0.43619999289512634,,0.5094000101089478
528,,0.6003999710083008,,,0.4505999982357025,,0.51419997215271
529,,0.607200026512146,,,0.4643000066280365,,0.5188000202178955
530,,0.6128000020980835,,,0.477400004863739,,0.5249000191688538
531,,0.6177999973297119,,,0.49000000953674316,,0.5303999781608582
532,,0.6222000122070312,,,0.501800000667572,,0.53329998254776
533,,0.6266000270843506,,,0.512499988079071,,0.5360000133514404
534,,0.6306999921798706,,,0.5235000252723694,,0.5396000146865845
535,,0.6342999935150146,,,0.5343999862670898,,0.5440999865531921
536,,0.6376000046730042,,,0.542900025844574,,0.5486999750137329
537,,0.640999972820282,,,0.550000011920929,,0.5534999966621399
538,,0.6448000073432922,,,0.5564000010490417,,0.5608000159263611
539,,0.6492999792098999,,,0.5627999901771545,,0.5683000087738037
